"Date","Price","Open","High","Low","Vol.","Change %"
"08/19/2024","2.222","2.105","2.245","2.104","104.08K","5.61%"
"08/18/2024","2.104","2.129","2.129","2.100","2.15K","-1.17%"
"08/17/2024","2.129","2.129","2.129","2.129","","0.28%"
"08/16/2024","2.123","2.205","2.216","2.111","140.82K","-3.37%"
"08/15/2024","2.197","2.228","2.301","2.189","165.42K","-0.99%"
"08/14/2024","2.219","2.160","2.276","2.144","189.93K","3.31%"
"08/13/2024","2.148","2.175","2.239","2.134","202.10K","-1.87%"
"08/12/2024","2.189","2.173","2.256","2.155","181.25K","1.30%"
"08/10/2024","2.161","2.161","2.161","2.161","","0.84%"
"08/09/2024","2.143","2.151","2.187","2.104","183.43K","0.75%"
"08/08/2024","2.127","2.100","2.179","2.028","232.20K","0.71%"
"08/07/2024","2.112","2.025","2.120","2.010","226.78K","5.07%"
"08/06/2024","2.010","1.957","2.033","1.900","154.47K","3.50%"
"08/05/2024","1.942","1.950","1.974","1.882","150.60K","-1.82%"
"08/03/2024","1.978","1.978","1.978","1.978","","0.56%"
"08/02/2024","1.967","1.985","2.023","1.920","164.21K","-0.05%"
"08/01/2024","1.968","2.046","2.126","1.965","215.98K","-3.34%"
"07/31/2024","2.036","2.120","2.149","2.023","167.71K","-4.23%"
"07/30/2024","2.126","2.065","2.135","1.991","157.48K","11.48%"
"07/29/2024","1.907","2.016","2.056","1.856","3.64K","-4.36%"
"07/27/2024","1.994","1.994","1.994","1.994","","-0.60%"
"07/26/2024","2.006","2.052","2.084","1.994","58.51K","-1.71%"
"07/25/2024","2.041","2.126","2.155","2.035","44.96K","-3.59%"
"07/24/2024","2.117","2.153","2.170","2.102","65.01K","-3.20%"
"07/23/2024","2.187","2.245","2.265","2.123","112.28K","-2.84%"
"07/22/2024","2.251","2.104","2.270","2.090","148.70K","5.98%"
"07/20/2024","2.124","2.124","2.124","2.124","","-0.19%"
"07/19/2024","2.128","2.089","2.143","2.057","101.99K","0.14%"
"07/18/2024","2.125","2.047","2.134","2.024","159.46K","4.42%"
"07/17/2024","2.035","2.181","2.208","2.015","212.20K","-6.99%"
"07/16/2024","2.188","2.170","2.218","2.149","131.22K","1.39%"
"07/15/2024","2.158","2.273","2.285","2.147","189.52K","-6.70%"
"07/13/2024","2.313","2.313","2.313","2.313","","-0.69%"
